Nome do alimento,Hidratos de carbono (CHO)
"Café, infusão - valor médio (bica 60% e café de cafeteira 40%)",0.3
Caldeirada de bacalhau,7.1
Caldeirada de bacalhau com enchidos e massa,9.7
Caldeirada de cabrito com azeite e banha,8.3
Caldeirada de cabrito com azeite e margarina,8.3
Caldeirada de enguias,8.2
Caldeirada de enguias à moda de Aveiro,5.3
Caldeirada de pargo e peixe-espada-preto,4.4
Caldeirada de peixe,4.4
Caldeirada de safio com amêijoas,5.8
"Caldeirada de safio, raia e tamboril",9.8
Caldo preparado com cubo de carne de galinha (diluição 2%),0.2
Caldo preparado com cubo de carne de vaca (diluição 2%),0.2
Camarão cozido,0.4
Camarão cozido sem sal,0.3
Camarão cru,0.3
Canela moída,55.5
Canja de frango com massa,2.1
Canja de galinha com aipo,2.3
"Cantarilho (Redfish) assado com cebola, tomate, azeite e bacon",1.2
Cantarilho (Redfish) cozido,0
Cantarilho (Redfish) cru,0
Cantarilho no forno,5.7
Carambola,7.1
Carapau cru,0
Carapau frito,1
Carapau grelhado,0
Carne à bolonhesa,15.6
Carne à jardineira,5.6
Carne de porco à alentejana,1.8
Carne de porco à alentejana sem massa de pimentão,2.2
Castanha assada com sal,45.5
Castanha de caju torrada  e salgada,19.4
Castanha pilada,70
"Castanha, miolo",39.8
Cavala cozida,0
Cavala crua,0
"Cavala em filetes, conserva em azeite",0
Cavala grelhada,0.6
Cavala no forno,2.3
Cebola cozida,2.4
Cebola crua,3.1
Cebola frita com óleo alimentar,6.2
Cenoura cozida,3.6
Cenoura crua,4.4
Cereja (4 variedades),13.3
"Cereja, conserva em calda de açúcar",28.7
"Cereja, cristalizada",79.9
Cerveja branca,0.5
Cerveja preta,0.6
Cerveja sem álcool,1.5
"Chá, infusão, de ervas",0.2
"Chá, infusão, preto",0
"Chá, infusão, verde",0
Chamuça,39.3
Cherne cozido,0
Cherne cru,0
Cherne grelhado,0
Chicharro cozido,0
Chicharro cru,0
Chicharro grelhado,0
Chicória crua,0.9
Choco cru,0
Choco grelhado,0
Chocolate de leite,53.1
"Chocolate em barra, culinária",44
Chocolate em pó,63.8
"Chouriço de carne de porco, gordo, cru",0
"Chouriço de carne de porco, magro, cozido sem adição de sal",0
"Chouriço de carne de porco, magro, cru",0
"Chouriço de carne de porco, magro, grelhado sem adição de sal",0
Chouriço de sangue cozido sem adição de sal,0
Chouriço de sangue cru,0
Clementina,11.1
"Coco seco, ralado",6.4
Codorniz carne sem pele crua,0
Codorniz com pele crua,0
Codorniz com pele estufada com azeite,0.7
Codorniz com pele grelhada,0
Coelho à caçador,1.6
Coelho cru,0
Coelho em vinha de alhos,1.4
Coelho estufado com azeite,0.9
Coelho estufado com margarina,0.9
Coentros crus,1.8
Cogumelos crus,0.5
"Cogumelos enlatados, escorridos",0
Cogumelos fritos com óleo alimentar,0.3
Compota de ameixa,49.2
Compota de ananás,50.8
Compota de cereja,61.9
Compota de damasco,58.9
Compota de laranja,59.5
"Coração de porco, cru",0
"Coração de porco, estufado com banha e margarina",1
"Coração de vaca, cozido",0
"Coração de vaca, cru",0
"Coração de vaca, estufado com banha e margarina",0.9
"Coração de vitela, cru",0
Corvina cozida,0
Corvina crua,0
Costeleta de borrego grelhada,2.8
Costeleta de cabrito crua,0
Costeleta de cabrito grelhada,0
Costeleta de carneiro crua,0
Costeleta de porco gorda crua,0
Costeleta de porco gorda grelhada,0
Costeleta de porco grelhada,0.8
Costeleta de porco meio gorda crua,0
Costeleta de porco meio gorda estufada com azeite e banha,0.7
